,server_id,e_avg_activities,m_avg_activities,s_avg_activities
0,ct24,0.30985915492957744,2.76056338028169,0.5352112676056338
244,ct6,21.59090909090909,3.227272727272727,50.09090909090909
619,ct7,5.092592592592593,0.16666666666666666,2.7962962962962963
929,ct4,23.845070422535212,0.11267605633802817,0.971830985915493
1332,ct31,4.838709677419355,2.064516129032258,4.806451612903226
1646,ct13,1.2222222222222223,2.7222222222222223,3.111111111111111
1822,ct22,2.2280701754385963,2.192982456140351,8.368421052631579
2169,ct8,3.590909090909091,0.2727272727272727,2.0
2233,ct10,1.1785714285714286,0.7857142857142857,13.178571428571429
2339,ct26,2.3,1.0,4.0
2443,ct1,4.883211678832117,1.4744525547445255,12.197080291970803
3852,ct11,20.963636363636365,3.0,0.6909090909090909
4321,ct18,10.53012048192771,2.7590361445783134,31.686746987951807
5036,ct19,0.3055555555555556,2.2777777777777777,1.4722222222222223
5454,ct14,22.76923076923077,4.730769230769231,26.923076923076923
5927,ct3,0.0,1.7142857142857142,0.0
6032,ct5,14.452830188679245,0.11320754716981132,1.0
6388,ct33,3.630434782608696,2.5,2.630434782608696
6582,ct16,14.615384615384615,2.6538461538461537,2.076923076923077
6856,ct28,3.5588235294117645,0.20588235294117646,1.5588235294117647
7082,ct17,0.6666666666666666,0.24242424242424243,30.21212121212121
7432,ct9,2.504950495049505,2.792079207920792,0.7326732673267327
8691,ct32,1.4528301886792452,1.4339622641509433,0.7169811320754716
8863,ct20,5.296296296296297,1.462962962962963,0.8333333333333334
9063,ct34,13.342105263157896,2.0789473684210527,11.026315789473685
