school_server_code,tool_name,createdat_start,createdat_end,current_mission,time_spent,appData,StagePlayed_new,language,session_id,user_id,domain
2031030-mz30,policesquad,,2018-10-25 11:58:15,Mission 1,0:1:4,"{'ToolsClicked': '[""Equal Sides tool""]', 'MissionsCompleted': [0, 0, 0, 0], 'CurrentLevel': '', 'CurrentMission': 'Mission 1', 'CaseDetails': ['exactly3emptysides', ['fig001', 'fig036', 'fig017', 'fig056', None, None, None, None], ['The culprit has less than 5 straight sides', 'The culprit has all equal straight sides', 'The culprit has less than 6 straight sides'], ['Correct', 'Correct', 'Correct']], 'scoreAchieved': 80, 'GlossaryDownloaded': False, 'MissionsPlayed': [1, 0, 0, 0], 'starEarned': 1, 'NumberOfClues': '', 'StagePlayed': 1, 'ReplayUsedNumber': 0, 'CorrectRelease': '[{""clue"":1,""fig"":[""fig056""]},{""clue"":2,""fig"":[""fig017""]},{""clue"":3,""fig"":[""fig036""]}]', 'TimeSpentStage': '0:1:4', 'starTotal': 1, 'IncorrectRelease': '[]', 'statusConpleted': 'passed', 'StorySkiped': True, 'highScore': 80, 'HyperlinksClicked': '[]', 'NumberOfErrors': ''}",1,en,fo3sf6a2kwek6z9zmk999gdy93c1n4lp,31678,m
2031030-mz30,policesquad,,2018-10-25 12:00:09,Mission 1,0:1:53,"{'ToolsClicked': '[""Equal Sides tool"",""Equal Sides tool"",""Parallel Lines tool"",""Equal Sides tool""]', 'MissionsCompleted': [0, 0, 0, 0], 'CorrectRelease': '[{""clue"":1,""fig"":[""fig046""]},{""clue"":2,""fig"":[""fig031""]},{""clue"":3,""fig"":[""fig033""]}]', 'CurrentLevel': '', 'CaseDetails': ['all1rightangles', ['fig033', 'fig059', 'fig031', 'fig046', None, None, None, None], ['The culprit has more than 1 equal pairs of sides ', 'The culprit has atleast 1 right angle', 'The culprit has less than 6 straight sides'], ['Correct', 'Correct', 'Correct']], 'scoreAchieved': 80, 'GlossaryDownloaded': False, 'MissionsPlayed': [1, 0, 0, 0], 'starEarned': 1, 'HyperlinksClicked': '[]', 'StagePlayed': 2, 'ReplayUsedNumber': 0, 'NumberOfErrors': '', 'NumberOfClues': '', 'starTotal': 2, 'IncorrectRelease': '[]', 'statusConpleted': 'passed', 'StorySkiped': True, 'highScore': 80, 'CurrentMission': 'Mission 1', 'TimeSpentStage': '0:1:53'}",2,en,fo3sf6a2kwek6z9zmk999gdy93c1n4lp,31678,m
2031030-mz30,policesquad,,2018-10-25 12:01:38,Mission 1,0:1:28,"{'ToolsClicked': '[""Equal Sides tool""]', 'MissionsCompleted': [0, 0, 0, 0], 'CurrentLevel': '', 'CurrentMission': 'Mission 1', 'CaseDetails': ['exactly2rightangles', ['fig047', 'fig041', 'fig044', 'fig046', None, None, None, None], ['The culprit has more than 5 straight sides', 'The culprit has exactly 6 straight sides', 'The culprit has no equal pairs of sides '], ['Correct', 'Incorrect', 'Correct']], 'scoreAchieved': 30, 'GlossaryDownloaded': False, 'MissionsPlayed': [1, 0, 0, 0], 'starEarned': 0, 'NumberOfClues': '', 'StagePlayed': 3, 'ReplayUsedNumber': 0, 'CorrectRelease': '[{""clue"":1,""fig"":[""fig044""]},{""clue"":3,""fig"":[""fig041""]}]', 'TimeSpentStage': '0:1:28', 'starTotal': 2, 'IncorrectRelease': '[{""clue"":2,""fig"":[""fig047""]}]', 'statusConpleted': 'passed', 'StorySkiped': True, 'highScore': 80, 'HyperlinksClicked': '[]', 'NumberOfErrors': ''}",3,en,fo3sf6a2kwek6z9zmk999gdy93c1n4lp,31678,m
2031030-mz30,policesquad,,2018-10-25 12:04:58,Mission 1,0:3:11,"{'ToolsClicked': '[""Right Angle tool"",""Right Angle tool"",""Equal Sides tool""]', 'MissionsCompleted': [0, 0, 0, 0], 'CorrectRelease': '[{""clue"":1,""fig"":[""fig042""]},{""clue"":3,""fig"":[""fig027""]},{""clue"":4,""fig"":[""fig058""]},{""clue"":5,""fig"":[""fig049""]}]', 'CurrentLevel': '', 'CaseDetails': ['all1obtuseangles', ['fig042', 'fig049', 'fig058', 'fig008', 'fig027', 'fig052', None, None], ['The culprit has less than 3 equal pairs of sides ', 'The culprit has atleast 1 obtuse angle', 'The culprit has more than 4 straight sides', 'The culprit has more than 1 obtuse angle', 'The culprit has less than 2 right angles'], ['Correct', 'Correct', 'Correct', 'Incorrect', 'Correct']], 'scoreAchieved': 100, 'GlossaryDownloaded': False, 'MissionsPlayed': [1, 0, 0, 0], 'starEarned': 0, 'HyperlinksClicked': '[]', 'StagePlayed': 4, 'ReplayUsedNumber': 0, 'NumberOfErrors': '', 'NumberOfClues': '', 'starTotal': 2, 'IncorrectRelease': '[{""clue"":2,""fig"":[""fig008""]}]', 'statusConpleted': 'passed', 'StorySkiped': True, 'highScore': 100, 'CurrentMission': 'Mission 1', 'TimeSpentStage': '0:3:11'}",4,en,fo3sf6a2kwek6z9zmk999gdy93c1n4lp,31678,m
2031030-mz30,policesquad,,2018-10-25 12:07:26,Mission 1,0:2:28,"{'ToolsClicked': '[""Right Angle tool"",""Equal Sides tool"",""Right Angle tool""]', 'MissionsCompleted': [0, 0, 0, 0], 'CurrentLevel': '', 'CurrentMission': 'Mission 1', 'CaseDetails': ['exactly2acuteangles', ['fig060', 'fig041', 'fig053', 'fig051', 'fig017', 'fig008', None, None], ['The culprit has atleast 2 obtuse angles', 'The culprit has less than 3 right angles', 'The culprit has atleast 1 obtuse angle', 'The culprit has less than 3 acute angles', 'The culprit has more than 1 obtuse angle'], ['Incorrect', 'Correct', 'Incorrect', 'Incorrect', 'Incorrect']], 'scoreAchieved': 40, 'GlossaryDownloaded': False, 'MissionsPlayed': [1, 0, 0, 0], 'starEarned': 0, 'NumberOfClues': '', 'StagePlayed': 5, 'ReplayUsedNumber': 0, 'CorrectRelease': '[{""clue"":4,""fig"":[""fig041""]}]', 'TimeSpentStage': '0:2:28', 'starTotal': 2, 'IncorrectRelease': '[{""clue"":1,""fig"":[""fig017""]},{""clue"":2,""fig"":[""fig053""]},{""clue"":3,""fig"":[""fig060""]},{""clue"":5,""fig"":[""fig051""]}]', 'statusConpleted': 'failed', 'StorySkiped': True, 'highScore': 100, 'HyperlinksClicked': '[]', 'NumberOfErrors': ''}",5,en,fo3sf6a2kwek6z9zmk999gdy93c1n4lp,31678,m
2031030-mz30,policesquad,,2018-10-25 12:13:31,Mission 1,0:3:14,"{'ToolsClicked': '[""Protractor tool"",""Right Angle tool"",""Right Angle tool"",""Equal Sides tool""]', 'MissionsCompleted': [0, 0, 0, 0], 'CorrectRelease': '[{""clue"":2,""fig"":[""fig029""]},{""clue"":3,""fig"":[""fig034""]},{""clue"":5,""fig"":[""fig015""]}]', 'CurrentLevel': '', 'CaseDetails': ['no1acuteangles', ['fig034', 'fig015', 'fig029', 'fig067', 'fig043', 'fig070', None, None], ['The culprit has less than 2 acute angles', 'The culprit has no equal pairs of sides ', 'The culprit has less than 5 straight sides', 'The culprit has no right angle', 'The culprit has less than 3 acute angles'], ['Correct', 'Incorrect', 'Correct', 'Correct', 'Incorrect']], 'scoreAchieved': 60, 'GlossaryDownloaded': False, 'MissionsPlayed': [1, 1, 1, 0], 'starEarned': 0, 'HyperlinksClicked': '[]', 'StagePlayed': 5, 'ReplayUsedNumber': 1, 'NumberOfErrors': '', 'NumberOfClues': '', 'starTotal': 2, 'IncorrectRelease': '[{""clue"":1,""fig"":[""fig043""]},{""clue"":2,""fig"":[""fig015""]},{""clue"":1,""fig"":[""fig043""]},{""clue"":4,""fig"":[""fig067""]}]', 'statusConpleted': 'passed', 'StorySkiped': True, 'highScore': 100, 'CurrentMission': 'Mission 1', 'TimeSpentStage': '0:3:14'}",5,en,fo3sf6a2kwek6z9zmk999gdy93c1n4lp,31678,m
2031030-mz30,policesquad,,2018-10-25 12:15:39,Mission 1,0:2:8,"{'ToolsClicked': '[]', 'MissionsCompleted': [0, 0, 0, 0], 'CurrentLevel': '', 'CurrentMission': 'Mission 1', 'CaseDetails': ['exactly5reflexangles', ['fig006', 'fig013', 'fig026', 'fig017', 'fig058', 'fig059', None, None], ['The culprit has less than 2 obtuse angles', 'The culprit has less than 3 right angles', 'The culprit has no obtuse angles', 'The culprit has atleast 1 reflex angle', 'The culprit has more than 3 straight sides'], ['Correct', 'Correct', 'Incorrect', 'Incorrect', 'Correct']], 'scoreAchieved': 80, 'GlossaryDownloaded': False, 'MissionsPlayed': [1, 1, 1, 0], 'starEarned': 0, 'NumberOfClues': '', 'StagePlayed': 6, 'ReplayUsedNumber': 1, 'CorrectRelease': '[{""clue"":1,""fig"":[""fig006""]},{""clue"":4,""fig"":[""fig059""]},{""clue"":5,""fig"":[""fig017""]}]', 'TimeSpentStage': '0:2:8', 'starTotal': 2, 'IncorrectRelease': '[{""clue"":2,""fig"":[""fig026""]},{""clue"":3,""fig"":[""fig058""]}]', 'statusConpleted': 'failed', 'StorySkiped': True, 'highScore': 100, 'HyperlinksClicked': '[""straight sides"",""straight sides"",""reflex angle"",""right angles""]', 'NumberOfErrors': ''}",6,en,fo3sf6a2kwek6z9zmk999gdy93c1n4lp,31678,m
2031030-mz30,policesquad,,2018-10-25 12:18:34,Mission 1,0:2:54,"{'ToolsClicked': '[""Equal Sides tool""]', 'MissionsCompleted': [0, 0, 0, 0], 'scoreAchieved': 60, 'CurrentLevel': '', 'CaseDetails': ['exactly1reflexangles', ['fig008', 'fig028', 'fig027', 'fig002', 'fig049', 'fig053', None, None], ['The culprit has less than 3 equal pairs of sides ', 'The culprit has less than 5 obtuse angles', 'The culprit has more than 1 equal pairs of sides ', 'The culprit has atleast 1 reflex angle', 'The culprit has atleast 4 straight sides'], ['Correct', 'Incorrect', 'Correct', 'Incorrect', 'Incorrect']], 'CorrectRelease': '[{""clue"":3,""fig"":[""fig002""]},{""clue"":5,""fig"":[""fig049""]}]', 'GlossaryDownloaded': False, 'MissionsPlayed': [1, 1, 1, 0], 'starEarned': 0, 'highScore': 100, 'HyperlinksClicked': '[]', 'StagePlayed': 6, 'ReplayUsedNumber': 1, 'NumberOfClues': '', 'starTotal': 2, 'IncorrectRelease': '[{""clue"":1,""fig"":[""fig053""]},{""clue"":2,""fig"":[""fig028""]},{""clue"":4,""fig"":[""fig027""]}]', 'statusConpleted': 'passed', 'StorySkiped': True, 'NumberOfErrors': '', 'CurrentMission': 'Mission 1', 'TimeSpentStage': '0:2:54'}",6,en,fo3sf6a2kwek6z9zmk999gdy93c1n4lp,31678,m
2031030-mz30,policesquad,,2018-10-18 13:00:42,Mission 1,0:12:18,"{'ToolsClicked': '[""Equal Sides tool""]', 'MissionsCompleted': [0, 0, 0, 0], 'CurrentLevel': '', 'CurrentMission': 'Mission 1', 'CaseDetails': ['exactly3emptysides', ['fig052', 'fig060', 'fig005', 'fig049', None, None, None, None], ['The culprit has less than 3 equal pairs of sides ', 'The culprit has less than 2 equal pairs of sides '], ['Incorrect', 'Incorrect']], 'scoreAchieved': 20, 'GlossaryDownloaded': False, 'MissionsPlayed': [1, 0, 0, 0], 'starEarned': 0, 'NumberOfClues': '', 'StagePlayed': 1, 'ReplayUsedNumber': 0, 'CorrectRelease': '[]', 'TimeSpentStage': '0:12:18', 'starTotal': 0, 'IncorrectRelease': '[{""clue"":1,""fig"":[""fig052""]},{""clue"":2,""fig"":[""fig005"",""fig049""]}]', 'statusConpleted': 'failed', 'StorySkiped': True, 'highScore': 20, 'HyperlinksClicked': '[""equal pairs of sides"",""equal pairs of sides""]', 'NumberOfErrors': ''}",1,en,pa8las5wg6gs4dzt84rvekboo91xhde2,31675,m
2031030-mz30,policesquad,,2018-10-18 13:01:55,Mission 1,0:1:13,"{'ToolsClicked': '[""Equal Sides tool""]', 'MissionsCompleted': [0, 0, 0, 0], 'CorrectRelease': '[]', 'CurrentLevel': '', 'CaseDetails': ['exactly3equalpairsofsides', ['fig050', 'fig011', 'fig044', 'fig033', None, None, None, None], ['The culprit has more than 1 equal pairs of sides ', 'The culprit has atleast 5 straight sides'], ['', 'Incorrect']], 'scoreAchieved': 30, 'GlossaryDownloaded': False, 'MissionsPlayed': [1, 0, 0, 0], 'starEarned': 0, 'HyperlinksClicked': '[""straight sides""]', 'StagePlayed': 1, 'ReplayUsedNumber': 0, 'NumberOfErrors': '', 'NumberOfClues': '', 'starTotal': 0, 'IncorrectRelease': '[{""clue"":1,""fig"":[""fig050"",""fig011"",""fig044""]}]', 'statusConpleted': 'failed', 'StorySkiped': True, 'highScore': 30, 'CurrentMission': 'Mission 1', 'TimeSpentStage': '0:1:13'}",1,en,pa8las5wg6gs4dzt84rvekboo91xhde2,31675,m
