,school_server_code,tool_name,createdat_start,createdat_end,time_spent,session_id,user_id,domain,state_code,date_created,num_students_day,total_students,total_days,daily_attendence,individ_attendence,num_of_consistent_stud
0,3051001-rj1,food_sharing_tool,,2018-10-19 22:25:01,11,bkodrlw7vd5uetapzisz970ta4v13owf,211108,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.125,0
1,3051001-rj1,food_sharing_tool,,2018-10-19 22:30:43,11,bkodrlw7vd5uetapzisz970ta4v13owf,211108,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.125,0
2,3051001-rj1,food_sharing_tool,,2018-10-19 22:33:16,11,bkodrlw7vd5uetapzisz970ta4v13owf,211108,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.125,0
3,3051001-rj1,food_sharing_tool,,2018-10-19 22:36:55,11,bkodrlw7vd5uetapzisz970ta4v13owf,211108,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.125,0
4,3051001-rj1,food_sharing_tool,,2018-07-23 00:53:04,9,n3sznikrciuztr6zptwmowwrr04xugx9,211122,m,rj,2018-07-23,2,13,8,0.15384615384615385,0.375,0
5,3051001-rj1,food_sharing_tool,,2018-07-23 00:54:03,9,n3sznikrciuztr6zptwmowwrr04xugx9,211122,m,rj,2018-07-23,2,13,8,0.15384615384615385,0.375,0
6,3051001-rj1,food_sharing_tool,,2018-07-23 00:55:06,9,n3sznikrciuztr6zptwmowwrr04xugx9,211122,m,rj,2018-07-23,2,13,8,0.15384615384615385,0.375,0
7,3051001-rj1,food_sharing_tool,,2018-07-23 00:55:11,9,n3sznikrciuztr6zptwmowwrr04xugx9,211122,m,rj,2018-07-23,2,13,8,0.15384615384615385,0.375,0
8,3051001-rj1,food_sharing_tool,,2018-07-23 00:55:47,9,n3sznikrciuztr6zptwmowwrr04xugx9,211122,m,rj,2018-07-23,2,13,8,0.15384615384615385,0.375,0
9,3051001-rj1,food_sharing_tool,,2018-07-23 00:56:46,9,n3sznikrciuztr6zptwmowwrr04xugx9,211122,m,rj,2018-07-23,2,13,8,0.15384615384615385,0.375,0
10,3051001-rj1,food_sharing_tool,,2018-07-23 00:57:35,9,n3sznikrciuztr6zptwmowwrr04xugx9,211122,m,rj,2018-07-23,2,13,8,0.15384615384615385,0.375,0
11,3051001-rj1,food_sharing_tool,,2018-07-23 00:58:00,9,n3sznikrciuztr6zptwmowwrr04xugx9,211122,m,rj,2018-07-23,2,13,8,0.15384615384615385,0.375,0
12,3051001-rj1,food_sharing_tool,,2018-07-23 00:58:47,9,n3sznikrciuztr6zptwmowwrr04xugx9,211122,m,rj,2018-07-23,2,13,8,0.15384615384615385,0.375,0
13,3051001-rj1,food_sharing_tool,,2018-07-23 00:59:41,9,n3sznikrciuztr6zptwmowwrr04xugx9,211122,m,rj,2018-07-23,2,13,8,0.15384615384615385,0.375,0
14,3051001-rj1,food_sharing_tool,,2018-07-23 00:59:41,9,n3sznikrciuztr6zptwmowwrr04xugx9,211122,m,rj,2018-07-23,2,13,8,0.15384615384615385,0.375,0
15,3051001-rj1,food_sharing_tool,,2018-07-23 01:00:42,9,n3sznikrciuztr6zptwmowwrr04xugx9,211122,m,rj,2018-07-23,2,13,8,0.15384615384615385,0.375,0
16,3051001-rj1,food_sharing_tool,,2018-07-23 01:01:06,9,n3sznikrciuztr6zptwmowwrr04xugx9,211122,m,rj,2018-07-23,2,13,8,0.15384615384615385,0.375,0
17,3051001-rj1,food_sharing_tool,,2018-07-23 01:01:33,9,n3sznikrciuztr6zptwmowwrr04xugx9,211122,m,rj,2018-07-23,2,13,8,0.15384615384615385,0.375,0
18,3051001-rj1,food_sharing_tool,,2018-07-23 01:02:25,9,n3sznikrciuztr6zptwmowwrr04xugx9,211122,m,rj,2018-07-23,2,13,8,0.15384615384615385,0.375,0
19,3051001-rj1,food_sharing_tool,,2018-10-19 22:03:55,32,9lnjh6if6zg1whdo6ibsqhjxqwuckt3r,211122,m,rj,2018-10-19,8,13,8,0.6153846153846154,0.375,0
