,school_server_code,date_created,timespent
0,2031002-mz2,2018-08-14,0.5
34,2031002-mz2,2018-08-16,0.5
57,2031002-mz2,2018-08-27,0.5
135,2031002-mz2,2018-10-11,0.5
157,2031002-mz2,2018-10-15,0.5
176,2031002-mz2,2018-10-17,0.5
194,2031002-mz2,2018-10-22,0.5
228,2031002-mz2,2018-10-24,0.5
229,2031002-mz2,2018-11-05,0.5
244,2031002-mz2,2018-11-12,0.5
259,2031003-mz3,2018-08-07,0.5
264,2031003-mz3,2018-08-14,0.5
285,2031003-mz3,2018-08-21,0.5
324,2031003-mz3,2018-08-30,0.5
360,2031003-mz3,2018-09-05,0.5
365,2031003-mz3,2018-09-11,0.5
443,2031003-mz3,2018-09-12,0.5
449,2031003-mz3,2018-09-13,3.0
492,2031003-mz3,2018-09-14,0.5
543,2031003-mz3,2018-09-18,0.5
553,2031003-mz3,2018-09-19,1.0
597,2031003-mz3,2018-09-20,1.0
649,2031003-mz3,2018-09-21,2.0
672,2031003-mz3,2018-09-25,0.5
702,2031003-mz3,2018-09-26,4.0
732,2031003-mz3,2018-09-27,1.0
753,2031003-mz3,2018-09-28,0.5
772,2031004-mz4,2018-07-11,0.5
774,2031004-mz4,2018-10-18,0.5
797,2031005-mz5,2018-07-09,0.5
835,2031005-mz5,2018-08-07,0.5
842,2031005-mz5,2018-08-14,0.5
871,2031007-mz7,2018-08-13,0.5
905,2031007-mz7,2018-08-24,0.5
913,2031007-mz7,2018-08-29,0.5
916,2031007-mz7,2018-08-30,1.0
917,2031007-mz7,2018-08-31,1.0
919,2031007-mz7,2018-09-10,2.0
921,2031008-mz8,2018-08-21,0.5
932,2031008-mz8,2018-08-29,0.5
956,2031008-mz8,2018-10-08,0.5
957,2031008-mz8,2018-10-15,0.5
990,2031008-mz8,2018-10-29,0.5
999,2031010-mz10,2018-08-27,0.5
1033,2031012-mz12,2018-08-14,0.5
1067,2031012-mz12,2018-10-04,0.5
1077,2031012-mz12,2018-10-18,0.5
1080,2031017-mz17,2018-08-14,0.5
1114,2031017-mz17,2018-08-16,1.0
1138,2031017-mz17,2018-08-23,0.5
1155,2031017-mz17,2018-10-08,0.5
1184,2031017-mz17,2018-10-11,0.5
1230,2031017-mz17,2018-10-12,0.5
1252,2031017-mz17,2018-10-25,0.5
1275,2031017-mz17,2018-10-26,0.5
1291,2031017-mz17,2018-10-31,0.5
1309,2031017-mz17,2018-11-13,0.5
1313,2031017-mz17,2018-11-15,0.5
1322,2031017-mz17,2018-11-20,0.5
1353,2031017-mz17,2018-11-21,0.5
1358,2031020-mz20,2018-07-11,0.5
1398,2031020-mz20,2018-08-10,0.5
1416,2031020-mz20,2018-08-21,0.5
1445,2031020-mz20,2018-08-28,0.5
1468,2031020-mz20,2018-08-31,0.5
1491,2031020-mz20,2018-10-09,0.5
1506,2031020-mz20,2018-10-10,0.5
1514,2031020-mz20,2018-10-26,1.0
1535,2031020-mz20,2018-10-30,0.5
1553,2031020-mz20,2018-10-31,0.5
1585,2031020-mz20,2018-11-02,0.5
1602,2031020-mz20,2018-11-09,1.0
1621,2031020-mz20,2018-11-13,0.5
1639,2031021-mz21,2018-07-05,0.5
1643,2031021-mz21,2018-08-31,1.0
1684,2031021-mz21,2018-11-09,0.5
1703,2031022-mz22,2018-07-02,0.5
1737,2031022-mz22,2018-08-13,0.5
1738,2031022-mz22,2018-08-20,0.5
1774,2031022-mz22,2018-09-14,1.0
1792,2031027-mz27,2018-07-10,0.5
1793,2031027-mz27,2018-08-08,0.5
1798,2031027-mz27,2018-08-14,1.0
1810,2031027-mz27,2018-08-20,0.5
1830,2031027-mz27,2018-10-10,0.5
1848,2031027-mz27,2018-10-16,0.5
1861,2031028-mz28,2018-08-07,0.5
1868,2031029-mz29,2018-07-11,0.5
1903,2031029-mz29,2018-08-08,1.0
1935,2031029-mz29,2018-08-24,0.5
1973,2031029-mz29,2018-08-29,0.5
1986,2031029-mz29,2018-09-14,0.5
2026,2031029-mz29,2018-10-03,0.5
2031,2031029-mz29,2018-10-04,0.5
2039,2031029-mz29,2018-10-16,0.5
2051,2031029-mz29,2018-10-17,0.5
2070,2031029-mz29,2018-10-23,0.5
2081,2031029-mz29,2018-10-24,0.5
2091,2031029-mz29,2018-10-26,0.5
2110,2031029-mz29,2018-10-30,0.5
2121,2031029-mz29,2018-11-13,0.5
2183,2031029-mz29,2018-11-20,0.5
2208,2031030-mz30,2018-08-16,0.5
2233,2031030-mz30,2018-08-23,0.5
2248,2031030-mz30,2018-09-20,0.5
2331,2031030-mz30,2018-10-04,0.5
2336,2031030-mz30,2018-10-11,0.5
2367,2031030-mz30,2018-10-18,0.5
2384,2031030-mz30,2018-10-25,0.5
