,school_server_code,date_created,domain,timespent_dom
0,2031002-mz2,2018-08-14,e,1.0
1,2031002-mz2,2018-08-14,m,1.0
2,2031002-mz2,2018-08-14,s,0.9
3,2031002-mz2,2018-08-16,m,0.5227272727272727
4,2031002-mz2,2018-08-27,e,0.9130434782608695
5,2031002-mz2,2018-08-27,m,0.8181818181818182
6,2031002-mz2,2018-10-11,m,0.55
7,2031002-mz2,2018-10-15,m,0.5
8,2031002-mz2,2018-10-17,m,0.5
9,2031002-mz2,2018-10-22,m,0.5
10,2031002-mz2,2018-10-22,s,1.03125
11,2031002-mz2,2018-10-24,s,0.5
12,2031002-mz2,2018-11-05,m,0.5
13,2031002-mz2,2018-11-12,m,0.5
14,2031003-mz3,2018-08-07,s,0.5
15,2031003-mz3,2018-08-14,m,0.5
16,2031003-mz3,2018-08-21,m,0.5
17,2031003-mz3,2018-08-21,s,0.5
18,2031003-mz3,2018-08-30,m,0.5
19,2031003-mz3,2018-09-05,m,0.5
20,2031003-mz3,2018-09-11,e,0.5
21,2031003-mz3,2018-09-11,m,0.9464285714285714
22,2031003-mz3,2018-09-11,s,0.5
23,2031003-mz3,2018-09-12,m,1.375
24,2031003-mz3,2018-09-13,m,2.1724137931034484
25,2031003-mz3,2018-09-14,m,1.3333333333333333
26,2031003-mz3,2018-09-14,s,0.5
27,2031003-mz3,2018-09-18,s,0.625
28,2031003-mz3,2018-09-19,s,1.08
29,2031003-mz3,2018-09-20,m,0.5
30,2031003-mz3,2018-09-20,s,1.9285714285714286
31,2031003-mz3,2018-09-21,s,1.2727272727272727
32,2031003-mz3,2018-09-25,e,0.775
33,2031003-mz3,2018-09-25,s,0.5
34,2031003-mz3,2018-09-26,e,3.0961538461538463
35,2031003-mz3,2018-09-27,e,1.925
36,2031003-mz3,2018-09-28,e,0.9285714285714286
37,2031004-mz4,2018-07-11,e,0.5
38,2031004-mz4,2018-10-18,e,0.6666666666666666
39,2031004-mz4,2018-10-18,m,0.5
40,2031004-mz4,2018-10-18,s,0.5
41,2031005-mz5,2018-07-09,m,0.75
42,2031005-mz5,2018-08-07,m,0.5
43,2031005-mz5,2018-08-07,s,0.5
44,2031005-mz5,2018-08-14,m,0.5
45,2031007-mz7,2018-08-13,e,1.0
46,2031007-mz7,2018-08-13,m,1.0
47,2031007-mz7,2018-08-13,s,0.9
48,2031007-mz7,2018-08-24,e,1.0
49,2031007-mz7,2018-08-24,m,1.5
50,2031007-mz7,2018-08-24,s,2.0
51,2031007-mz7,2018-08-29,e,0.5
52,2031007-mz7,2018-08-29,m,0.5
53,2031007-mz7,2018-08-29,s,0.5
54,2031007-mz7,2018-08-30,e,1.0
55,2031007-mz7,2018-08-31,e,1.5
56,2031007-mz7,2018-09-10,m,2.5
57,2031008-mz8,2018-08-21,e,0.5
58,2031008-mz8,2018-08-29,e,0.5
59,2031008-mz8,2018-10-08,e,0.5
60,2031008-mz8,2018-10-15,e,0.5
61,2031008-mz8,2018-10-15,m,0.5
62,2031008-mz8,2018-10-29,m,0.5
63,2031010-mz10,2018-08-27,e,1.0
64,2031010-mz10,2018-08-27,m,1.0
65,2031010-mz10,2018-08-27,s,0.9
66,2031012-mz12,2018-08-14,e,1.0
67,2031012-mz12,2018-08-14,m,1.0
68,2031012-mz12,2018-08-14,s,0.9
69,2031012-mz12,2018-10-04,m,0.5
70,2031012-mz12,2018-10-18,m,0.5
71,2031017-mz17,2018-08-14,e,1.0
72,2031017-mz17,2018-08-14,m,1.0
73,2031017-mz17,2018-08-14,s,0.9
74,2031017-mz17,2018-08-16,m,0.6842105263157895
