,month_slot,number_of_schools,idle_days_avg,active_days_avg,num_of_students,e_num_mod_avg,m_num_mod_avg,s_num_mod_avg,e_ts_dom,m_ts_dom,s_ts_dom,e_num_mod_perday_avg,m_num_mod_perday_avg,s_num_mod_perday_avg,month_slot_dt
1,Jul-2018,7,0.5714285714285714,1.1428571428571428,12.857142857142858,1.4,2.0,3.0,0.6,0.7708333333333333,0.8237500000000001,1.2,1.525,1.6475000000000002,2018-07-01
0,Aug-2018,15,0.6,2.466666666666667,24.933333333333334,1.5833333333333333,2.357142857142857,3.0,0.7455707600069014,0.76146331738437,0.7509920634920635,1.343348861283644,1.5256322624743677,1.4605769230769232,2018-08-01
4,Sep-2018,5,2.0,3.6,40.8,1.6666666666666667,3.0,3.25,1.0459445316588174,1.1651006507328345,0.8912403707403709,1.1342246642246643,1.9528750836222102,1.3932023928452497,2018-09-01
3,Oct-2018,9,-0.1111111111111111,4.333333333333333,23.0,1.4285714285714286,1.3333333333333333,2.2,0.583894158426244,0.5114035087719299,0.6992694805194805,1.056959706959707,1.0027777777777778,1.2789772727272726,2018-10-01
2,Nov-2018,5,0.8,2.4,19.8,1.5,1.6666666666666667,2.5,0.5885416666666666,0.5166666666666667,0.6378968253968254,1.1328125,1.0555555555555556,1.1163194444444444,2018-11-01
