,domain,level_1,users,activities_per_user,activities_sd,activities_median,activities_mode,num_schools
0,e,0,939,9.856230031948881,11.402296137215531,6.0,1,65
1,m,0,1273,8.33071484681854,11.106112298406616,4.0,2,66
2,s,0,1998,21.885885885885887,29.272364064726613,10.0,1,65
