,domain,level_1,users,activities_per_user,activities_sd,activities_median,activities_mode,num_schools
0,e,0,290,20.73103448275862,21.04016760639946,16.0,5,15
1,m,0,344,5.962209302325581,7.572489090326918,3.0,1,16
2,s,0,215,14.534883720930232,20.918565779281256,6.0,1,15
