,domain,level_1,users,activities_per_user,activities_sd,activities_median,activities_mode,num_schools
0,e,0,518,20.685328185328185,26.157967838120232,8.0,1,21
1,m,0,690,4.172463768115942,4.364468757474364,3.0,1,22
2,s,0,431,22.703016241299302,28.38047093365462,12.0,1,22
