,domain,level_1,users,activities_per_user,activities_sd,activities_median,activities_mode,num_schools
0,e,0,688,9.654069767441861,13.98750058593077,5.0,1,64
1,m,0,458,6.155021834061135,10.613767683604882,3.0,1,67
2,s,0,674,10.973293768545995,15.530037007742868,6.0,1,65
