,Unnamed: 0,district_code,e_num_days,e_num_lessons,e_num_modules,m_num_days,m_num_lessons,m_num_modules,s_num_days,s_num_lessons,s_num_modules,school_code,school_server_code,total_mod_days,total_num_lessons,total_num_mod,total_users
29,,0,0,0,0,0,0,0,0,0,0,2082,0,0,0,0,0
43,43.0,20,22,7,48,12,6,24,27,69,75,2083,4202083-tg283,29,82,147,34
30,,0,0,0,0,0,0,0,0,0,0,2084,0,0,0,0,0
2,2.0,20,4,0,20,4,12,19,3,11,13,2085,4112085-tg285,4,23,52,19
31,,0,0,0,0,0,0,0,0,0,0,2086,0,0,0,0,0
32,,0,0,0,0,0,0,0,0,0,0,2087,0,0,0,0,0
33,,0,0,0,0,0,0,0,0,0,0,2088,0,0,0,0,0
34,,0,0,0,0,0,0,0,0,0,0,2089,0,0,0,0,0
35,,0,0,0,0,0,0,0,0,0,0,2090,0,0,0,0,0
24,24.0,20,1,0,10,1,2,8,1,10,9,2091,4152091-tg291,1,12,27,6
25,25.0,20,2,0,11,3,13,20,1,10,9,2092,4152092-tg292,4,23,40,18
36,,0,0,0,0,0,0,0,0,0,0,2093,0,0,0,0,0
37,,0,0,0,0,0,0,0,0,0,0,2094,0,0,0,0,0
38,,0,0,0,0,0,0,0,0,0,0,2095,0,0,0,0,0
39,,0,0,0,0,0,0,0,0,0,0,2096,0,0,0,0,0
40,,0,0,0,0,0,0,0,0,0,0,2097,0,0,0,0,0
41,,0,0,0,0,0,0,0,0,0,0,2098,0,0,0,0,0
35,35.0,20,5,8,34,1,3,9,3,10,22,2099,4192099-tg299,5,21,65,23
