,month_slot,number_of_schools,idle_days_avg,active_days_avg,num_of_students,e_num_mod_avg,m_num_mod_avg,s_num_mod_avg,e_ts_dom,m_ts_dom,s_ts_dom,e_num_mod_perday_avg,m_num_mod_perday_avg,s_num_mod_perday_avg,month_slot_dt
2,Jul-2018,17,2.3529411764705883,3.6470588235294117,20.705882352941178,2.0,3.0,3.7058823529411766,1.0525252525252524,0.8406653055747257,0.8556818181818183,1.805679012345679,1.581184031583648,1.690196078431373,2018-07-01
0,Aug-2018,22,1.4090909090909092,5.045454545454546,21.272727272727273,1.6842105263157894,2.0,3.6,0.6542365092636832,0.575118366993367,0.7338709677419356,1.3621335211247492,1.3174209783272284,1.4575000000000002,2018-08-01
5,Sep-2018,18,0.9444444444444444,3.8333333333333335,23.166666666666668,1.8,1.6428571428571428,3.1666666666666665,0.591793557911979,0.5156683229051652,0.6459892290249433,1.071772417153996,1.0228072853072852,1.2776399911816576,2018-09-01
4,Oct-2018,22,0.2727272727272727,5.090909090909091,20.636363636363637,1.7058823529411764,2.2666666666666666,3.4210526315789473,0.5427205308352849,0.5934376309741807,0.7820781956774109,1.0948671135120716,1.1801485326320853,1.3136246671651046,2018-10-01
3,Nov-2018,17,-0.17647058823529413,4.176470588235294,15.588235294117647,1.5833333333333333,2.1,2.642857142857143,0.5353972343225737,0.5948809523809524,0.6427790634970566,1.0647394898130191,1.1950793650793652,1.1612204730377,2018-11-01
1,Dec-2018,13,0.38461538461538464,3.1538461538461537,18.46153846153846,1.6363636363636365,1.8,4.375,0.6498609759693352,0.5991666666666667,0.6328563049151285,1.0895583991172226,1.0408333333333333,1.2030292351983527,2018-12-01
