,server_id,0,temp
3,mz2,10,2
10,mz3,17,3
12,mz4,2,4
13,mz5,3,5
14,mz7,6,7
15,mz8,5,8
0,mz10,1,10
1,mz12,3,12
2,mz17,13,17
4,mz20,13,20
5,mz21,3,21
6,mz22,4,22
7,mz27,6,27
8,mz28,1,28
9,mz29,15,29
11,mz30,7,30
