,tool_name,level_1,users,timespent_per_user,num_schools
0,ages puzzle,0,18,13.1666666666667,8
1,astroamer element hunt activity,0,65,10.0769230769231,10
2,astroamer moon track,0,4,15,1
3,astroamer planet trek activity,0,1,5,1
4,coins puzzle,0,22,12.0454545454545,6
5,factorisation,0,33,13.2121212121212,9
6,food sharing tool,0,153,20.1307189542484,15
7,ice,0,5,13.4,2
8,policesquad,0,460,9.50735507246377,15
9,rationpatterns,0,19,11.4210526315789,1
