,tool_name,level_1,users,timespent_per_user,num_schools
0,ages puzzle,0,25,17.08,6
1,astroamer element hunt activity,0,14,5.714285714285714,4
2,astroamer planet trek activity,0,1,20.0,1
3,coins puzzle,0,27,18.14814814814815,7
4,factorisation,0,31,18.225806451612904,4
5,food sharing tool,0,136,46.25,13
6,ice,0,1,10.0,1
7,policesquad,0,216,5.292978395061728,15
8,rationpatterns,0,2,40.5,1
