,tool_name,level_1,users,timespent_per_user,num_schools
0,ages puzzle,0,140,9.207142857142857,30
1,astroamer element hunt activity,0,169,8.994082840236686,29
2,astroamer moon track,0,12,10.75,5
3,astroamer planet trek activity,0,28,12.25,8
4,coins puzzle,0,77,8.363636363636363,22
5,factorisation,0,202,8.168316831683168,36
6,food sharing tool,0,307,15.807817589576548,30
7,ice,0,61,9.426229508196721,14
8,policesquad,0,202,26.512788778877887,12
9,rationpatterns,0,66,15.090909090909092,8
