,tool_name,level_1,users,timespent_per_user,num_schools
0,ages puzzle,0,48,11.0625,14
1,astroamer element hunt activity,0,306,11.127450980392156,35
2,astroamer moon track,0,36,22.27777777777778,5
3,astroamer planet trek activity,0,29,18.17241379310345,10
4,coins puzzle,0,30,19.366666666666667,8
5,factorisation,0,100,11.77,22
6,food sharing tool,0,603,17.800995024875622,46
7,ice,0,16,6.8125,6
8,policesquad,0,205,3.0995934959349594,18
9,rationpatterns,0,11,6.636363636363637,5
