,month_slot,number_of_schools,idle_days_avg,active_days_avg,num_of_students,e_num_mod_avg,m_num_mod_avg,s_num_mod_avg,e_ts_dom,m_ts_dom,s_ts_dom,e_num_mod_perday_avg,m_num_mod_perday_avg,s_num_mod_perday_avg,month_slot_dt
2,Jul-2018,46,1.3043478260869565,2.108695652173913,11.021739130434783,2.0,3.0652173913043477,4.3478260869565215,0.9171920068659198,0.8482846260020173,0.8416362283549782,1.8511093935075988,1.8460612756808412,1.7270012495555964,2018-07-01
0,Aug-2018,33,2.272727272727273,2.4242424242424243,11.93939393939394,1.793103448275862,2.5357142857142856,4.230769230769231,0.6605543303656513,0.7082160894660896,0.8126166317342788,1.3854349460671302,1.4633219954648526,1.6205728866766358,2018-08-01
5,Sep-2018,25,3.0,2.92,16.16,1.826086956521739,2.1,4.619047619047619,0.6487760994696146,0.5978835978835979,0.7149983486302322,1.2048258074076401,1.23171626984127,1.4821623278941207,2018-09-01
4,Oct-2018,18,1.0555555555555556,1.8333333333333333,5.388888888888889,1.4285714285714286,1.8,2.0625,0.6226325757575757,0.5427083333333333,0.8142857142857144,1.1037946428571428,1.045,1.3140625,2018-10-01
3,Nov-2018,24,1.625,3.6666666666666665,14.083333333333334,1.8421052631578947,2.2222222222222223,4.190476190476191,0.6335237706034489,0.6380306386120339,0.8033422507419609,1.1473830117251171,1.1607231040564374,1.4392871917507037,2018-11-01
1,Dec-2018,20,1.9,4.75,19.4,1.8333333333333333,2.5555555555555554,4.578947368421052,0.6835315524431114,0.8035119841723615,0.8413654406467757,1.1609250412212901,1.2787008644647533,1.3569493267433188,2018-12-01
