,school_server_code,level_1,domain,duration_weeks,teacher_uids,event
63,2031002-mz2,1,Math,7,"11100232,11100221,23100230,23100210,23100220,35100234",1
64,2031002-mz2,2,Science,2,"11100232,11100221,23100230,23100210,23100220,35100234",1
65,2031003-mz3,0,English,2,"23100310,23100312,23100332,35100314,35100334,35100320",1
66,2031003-mz3,1,Math,6,"23100310,23100312,23100332,35100314,35100334,35100320",1
67,2031003-mz3,2,Science,5,"23100310,23100312,23100332,35100314,35100334,35100320",1
68,2031004-mz4,0,English,2,"11100410,11100430,11100420,23100430,23100410",1
69,2031004-mz4,1,Math,1,"11100410,11100430,11100420,23100430,23100410",1
70,2031004-mz4,2,Science,1,"11100410,11100430,11100420,23100430,23100410",1
71,2031005-mz5,0,Math,3,"11100520,11100531,11100530,11100510,23100533,23100522,35100530,35100524,35100514",1
72,2031005-mz5,1,Science,1,"11100520,11100531,11100530,11100510,23100533,23100522,35100530,35100524,35100514",1
73,2031007-mz7,0,English,3,"11100724,11100710,11100730,23100720,23100710,23100730",1
74,2031007-mz7,1,Math,4,"11100724,11100710,11100730,23100720,23100710,23100730",1
75,2031007-mz7,2,Science,3,"11100724,11100710,11100730,23100720,23100710,23100730",1
76,2031008-mz8,0,English,4,"11100824,11100820,11100811,11100830,23100810,23100811,23100831,23100820,23100830,35100810,35100820",1
77,2031008-mz8,1,Math,2,"11100824,11100820,11100811,11100830,23100810,23100811,23100831,23100820,23100830,35100810,35100820",1
78,2031010-mz10,0,English,1,"23101010,23101031",1
79,2031010-mz10,1,Math,1,"23101010,23101031",1
80,2031010-mz10,2,Science,1,"23101010,23101031",1
81,2031012-mz12,0,English,1,"11101220,11101230,23101220,23101210,23101231,23101211,23101221",1
82,2031012-mz12,1,Math,3,"11101220,11101230,23101220,23101210,23101231,23101211,23101221",1
83,2031012-mz12,2,Science,1,"11101220,11101230,23101220,23101210,23101231,23101211,23101221",1
84,2031017-mz17,0,English,6,"11101730,11101710,11101720,23101730,23101710",1
85,2031017-mz17,1,Math,2,"11101730,11101710,11101720,23101730,23101710",1
86,2031017-mz17,2,Science,4,"11101730,11101710,11101720,23101730,23101710",1
87,2031020-mz20,0,English,6,"11102010,11102020,11102031,23102021,23102020,23102010,23102011,23102030",1
88,2031020-mz20,1,Math,6,"11102010,11102020,11102031,23102021,23102020,23102010,23102011,23102030",1
89,2031020-mz20,2,Science,4,"11102010,11102020,11102031,23102021,23102020,23102010,23102011,23102030",1
90,2031021-mz21,0,English,3,"23102131,23102120,23102110",1
91,2031021-mz21,1,Math,2,"23102131,23102120,23102110",1
92,2031021-mz21,2,Science,3,"23102131,23102120,23102110",1
93,2031022-mz22,0,English,1,"23102230,23102211,23102220",1
94,2031022-mz22,1,Math,2,"23102230,23102211,23102220",1
95,2031022-mz22,2,Science,2,"23102230,23102211,23102220",1
96,2031027-mz27,0,English,5,"23102730,23102710,35102714,35102724",1
97,2031027-mz27,1,Math,2,"23102730,23102710,35102714,35102724",1
98,2031027-mz27,2,Science,4,"23102730,23102710,35102714,35102724",1
99,2031028-mz28,0,English,1,"11102820,11102810,11102830,23102810,23102822,23102830",1
100,2031028-mz28,1,Math,1,"11102820,11102810,11102830,23102810,23102822,23102830",1
101,2031028-mz28,2,Science,1,"11102820,11102810,11102830,23102810,23102822,23102830",1
102,2031029-mz29,0,English,9,"11102920,11102910,11102930,23102930,23102910,35102910,35102930,35102920",1
103,2031029-mz29,1,Math,7,"11102920,11102910,11102930,23102930,23102910,35102910,35102930,35102920",1
104,2031029-mz29,2,Science,9,"11102920,11102910,11102930,23102930,23102910,35102910,35102930,35102920",1
105,2031030-mz30,0,English,5,"23103010,23103034,23103060",1
106,2031030-mz30,1,Math,5,"23103010,23103034,23103060",1
107,2031030-mz30,2,Science,3,"23103010,23103034,23103060",1
108,3051001-rj1,0,English,7,"11100112,11100132,35100130,35100120,35100110",1
109,3051001-rj1,1,Math,7,"11100112,11100132,35100130,35100120,35100110",1
110,3051001-rj1,2,Science,9,"11100112,11100132,35100130,35100120,35100110",1
111,3051002-rj2,0,English,4,"11100232,11100221,23100230,23100210,23100220,35100234",1
112,3051002-rj2,1,Math,3,"11100232,11100221,23100230,23100210,23100220,35100234",1
113,3051002-rj2,2,Science,7,"11100232,11100221,23100230,23100210,23100220,35100234",1
114,3051004-rj4,0,English,4,"11100410,11100430,11100420,23100430,23100410",1
115,3051004-rj4,1,Math,5,"11100410,11100430,11100420,23100430,23100410",1
116,3051004-rj4,2,Science,6,"11100410,11100430,11100420,23100430,23100410",1
117,3051005-rj5,0,English,1,"11100520,11100531,11100530,11100510,23100533,23100522,35100530,35100524,35100514",1
118,3051005-rj5,1,Math,1,"11100520,11100531,11100530,11100510,23100533,23100522,35100530,35100524,35100514",1
119,3051005-rj5,2,Science,1,"11100520,11100531,11100530,11100510,23100533,23100522,35100530,35100524,35100514",1
120,3051006-rj6,0,English,4,"11100630,11100611,11100620,23100610,23100630,23100621,23100620,23100612",1
121,3051006-rj6,1,Math,4,"11100630,11100611,11100620,23100610,23100630,23100621,23100620,23100612",1
122,3051006-rj6,2,Science,10,"11100630,11100611,11100620,23100610,23100630,23100621,23100620,23100612",1
123,3051010-rj10,0,English,6,"23101010,23101031",1
124,3051010-rj10,1,Math,6,"23101010,23101031",1
125,3051010-rj10,2,Science,6,"23101010,23101031",1
126,3051011-rj11,0,English,2,"410101114,410101124,410101134,11101132,11101120,23101120,23101131,23101111,23101130",1
127,3051011-rj11,1,Math,2,"410101114,410101124,410101134,11101132,11101120,23101120,23101131,23101111,23101130",1
128,3051011-rj11,2,Science,3,"410101114,410101124,410101134,11101132,11101120,23101120,23101131,23101111,23101130",1
129,3051013-rj13,0,English,3,"23101320,23101330,23101310,35101320",1
130,3051013-rj13,1,Math,3,"23101320,23101330,23101310,35101320",1
131,3051013-rj13,2,Science,4,"23101320,23101330,23101310,35101320",1
132,3051014-rj14,0,English,2,"23101424,23101460",1
133,3051014-rj14,1,Math,2,"23101424,23101460",1
134,3051014-rj14,2,Science,1,"23101424,23101460",1
135,3051015-rj15,0,English,4,"11101530,23101520,23101531",1
136,3051015-rj15,1,Math,4,"11101530,23101520,23101531",1
137,3051015-rj15,2,Science,4,"11101530,23101520,23101531",1
138,3051018-rj18,0,English,5,"23101812,23101821",1
139,3051018-rj18,1,Math,5,"23101812,23101821",1
140,3051018-rj18,2,Science,4,"23101812,23101821",1
141,3051019-rj19,0,English,1,"23101922,23101910,23101930,23101931,23101921",1
142,3051019-rj19,1,Math,1,"23101922,23101910,23101930,23101931,23101921",1
143,3051019-rj19,2,Science,1,"23101922,23101910,23101930,23101931,23101921",1
144,3051022-rj22,0,English,4,"23102230,23102211,23102220",1
145,3051022-rj22,1,Math,3,"23102230,23102211,23102220",1
146,3051022-rj22,2,Science,4,"23102230,23102211,23102220",1
