,school_server_code,level_1,domain,duration_weeks,teacher_uids,event
420,4202032-tg232,2,Science,4,37203231,1
421,4202034-tg234,0,English,14,,1
422,4202034-tg234,1,Math,10,,1
423,4202034-tg234,2,Science,13,,1
424,4202059-tg259,0,English,7,,1
425,4202059-tg259,1,Math,3,,1
426,4202059-tg259,2,Science,5,,1
427,4202074-tg274,0,English,3,,1
428,4202074-tg274,1,Math,3,,1
429,4202074-tg274,2,Science,3,,1
430,4202083-tg283,0,English,14,"48208310,48208321,48208334",1
431,4202083-tg283,1,Math,10,"48208310,48208321,48208334",1
432,4202083-tg283,2,Science,15,"48208310,48208321,48208334",1
433,4213045-tg45,0,English,2,,1
434,4213045-tg45,1,Math,2,,1
435,4213045-tg45,2,Science,2,,1
436,4221018-tg118,0,English,3,"23101812,23101821",1
437,4221018-tg118,1,Math,1,"23101812,23101821",1
438,4221018-tg118,2,Science,2,"23101812,23101821",1
439,4221026-tg126,0,English,3,"410102611,410102631,11102611,11102632,11102620,23102611,23102620",1
440,4221026-tg126,1,Math,2,"410102611,410102631,11102611,11102632,11102620,23102611,23102620",1
441,4221026-tg126,2,Science,3,"410102611,410102631,11102611,11102632,11102620,23102611,23102620",1
442,4221034-tg134,0,English,1,"35103434,35103420,35103414",1
443,4221034-tg134,1,Math,1,"35103434,35103420,35103414",1
444,4221034-tg134,2,Science,1,"35103434,35103420,35103414",1
445,4221040-tg140,0,English,7,"35104014,35104020",1
446,4221040-tg140,1,Math,9,"35104014,35104020",1
447,4221040-tg140,2,Science,8,"35104014,35104020",1
448,4221067-tg167,0,English,3,,1
449,4221067-tg167,1,Math,3,,1
450,4221067-tg167,2,Science,3,,1
451,4221068-tg168,0,English,1,410106811,1
452,4221068-tg168,1,Math,1,410106811,1
453,4221068-tg168,2,Science,1,410106811,1
454,4221074-tg174,0,English,2,,1
455,4221074-tg174,1,Math,2,,1
456,4221074-tg174,2,Science,2,,1
457,4221094-tg194,0,English,1,"410109410,410109421,410109430",1
458,4221094-tg194,1,Math,1,"410109410,410109421,410109430",1
459,4221094-tg194,2,Science,1,"410109410,410109421,410109430",1
460,4221095-tg195,0,English,1,,1
461,4221095-tg195,1,Math,1,,1
462,4221095-tg195,2,Science,1,,1
463,4231023-tg123,0,English,6,"11102320,11102310,11102330,23102331,23102333,23102320,23102311,23102321,23102312",1
464,4231023-tg123,1,Math,2,"11102320,11102310,11102330,23102331,23102333,23102320,23102311,23102321,23102312",1
465,4231023-tg123,2,Science,4,"11102320,11102310,11102330,23102331,23102333,23102320,23102311,23102321,23102312",1
466,4231027-tg127,0,English,1,"23102730,23102710,35102714,35102724",1
467,4231027-tg127,1,Math,1,"23102730,23102710,35102714,35102724",1
468,4231027-tg127,2,Science,1,"23102730,23102710,35102714,35102724",1
469,4231029-tg129,0,English,5,"11102920,11102910,11102930,23102930,23102910,35102910,35102930,35102920",1
470,4231029-tg129,1,Math,6,"11102920,11102910,11102930,23102930,23102910,35102910,35102930,35102920",1
471,4231029-tg129,2,Science,7,"11102920,11102910,11102930,23102930,23102910,35102910,35102930,35102920",1
472,4231036-tg136,0,English,16,35103610,1
473,4231036-tg136,1,Math,18,35103610,1
474,4231036-tg136,2,Science,13,35103610,1
475,4231043-tg143,0,English,1,,1
476,4231043-tg143,1,Math,2,,1
477,4231043-tg143,2,Science,2,,1
478,4231046-tg146,0,English,7,35104624,1
479,4231046-tg146,1,Math,4,35104624,1
480,4231046-tg146,2,Science,6,35104624,1
481,4231047-tg147,0,English,1,,1
482,4231047-tg147,1,Math,1,,1
483,4231047-tg147,2,Science,1,,1
484,4231050-tg150,0,English,1,,1
485,4231050-tg150,1,Math,1,,1
486,4231050-tg150,2,Science,1,,1
487,4231051-tg151,0,English,2,,1
488,4231051-tg151,1,Math,2,,1
489,4231051-tg151,2,Science,2,,1
490,4231057-tg157,0,English,1,,1
491,4231057-tg157,1,Math,1,,1
492,4231057-tg157,2,Science,1,,1
493,4231058-tg158,0,English,1,410105824,1
494,4231058-tg158,1,Math,1,410105824,1
495,4231058-tg158,2,Science,1,410105824,1
496,4231078-tg178,0,Math,1,,1
497,4231084-tg184,0,English,5,,1
498,4231084-tg184,1,Math,4,,1
499,4231084-tg184,2,Science,11,,1
