,school_server_code,level_1,tool_name,duration_weeks,event
133,3051006-rj6,4,policesquad,1,1
134,3051010-rj10,0,astroamer_element_hunt_activity,2,1
135,3051010-rj10,1,food_sharing_tool,1,1
136,3051011-rj11,0,astroamer_element_hunt_activity,2,1
137,3051013-rj13,0,food_sharing_tool,2,1
138,3051013-rj13,1,policesquad,2,1
139,3051014-rj14,0,ages_puzzle,1,1
140,3051014-rj14,1,astroamer_element_hunt_activity,1,1
141,3051014-rj14,2,coins_puzzle,1,1
142,3051014-rj14,3,factorisation,1,1
143,3051014-rj14,4,food_sharing_tool,1,1
144,3051014-rj14,5,rationpatterns,1,1
145,3051015-rj15,0,astroamer_element_hunt_activity,1,1
146,3051018-rj18,0,ages_puzzle,1,1
147,3051018-rj18,1,coins_puzzle,1,1
148,3051018-rj18,2,factorisation,1,1
149,3051018-rj18,3,food_sharing_tool,1,1
150,3051018-rj18,4,rationpatterns,1,1
151,3051022-rj22,0,astroamer_element_hunt_activity,2,1
152,3051022-rj22,1,factorisation,1,1
153,3051022-rj22,2,policesquad,2,1
154,3051024-rj24,0,ages_puzzle,1,1
155,3051024-rj24,1,coins_puzzle,1,1
156,3051024-rj24,2,factorisation,2,1
157,3051025-rj25,0,food_sharing_tool,2,1
158,3051025-rj25,1,policesquad,2,1
159,3051026-rj26,0,astroamer_element_hunt_activity,2,1
160,3051026-rj26,1,food_sharing_tool,4,1
161,3051026-rj26,2,policesquad,2,1
162,3051027-rj27,0,astroamer_element_hunt_activity,2,1
163,3051027-rj27,1,astroamer_planet_trek_activity,1,1
164,3051027-rj27,2,factorisation,1,1
165,3051027-rj27,3,food_sharing_tool,2,1
166,3051028-rj28,0,astroamer_element_hunt_activity,1,1
167,3051030-rj30,0,food_sharing_tool,3,1
168,3051031-rj31,0,ages_puzzle,3,1
169,3051031-rj31,1,astroamer_element_hunt_activity,3,1
170,3051031-rj31,2,factorisation,3,1
171,3051031-rj31,3,food_sharing_tool,6,1
172,3051031-rj31,4,ice,1,1
173,3051031-rj31,5,policesquad,2,1
174,3051031-rj31,6,rationpatterns,1,1
175,3051032-rj32,0,ages_puzzle,2,1
176,3051032-rj32,1,astroamer_element_hunt_activity,2,1
177,3051032-rj32,2,food_sharing_tool,7,1
178,3051032-rj32,3,ice,1,1
179,3051033-rj33,0,food_sharing_tool,1,1
180,3051036-rj36,0,ages_puzzle,1,1
181,3051036-rj36,1,astroamer_element_hunt_activity,2,1
182,3051036-rj36,2,astroamer_moon_track,1,1
183,3051036-rj36,3,astroamer_planet_trek_activity,2,1
184,3051036-rj36,4,coins_puzzle,2,1
185,3051036-rj36,5,factorisation,2,1
186,3051036-rj36,6,food_sharing_tool,1,1
187,3051041-rj41,0,ice,1,1
188,3051044-rj44,0,astroamer_element_hunt_activity,2,1
189,3051044-rj44,1,astroamer_moon_track,1,1
190,3051044-rj44,2,astroamer_planet_trek_activity,1,1
191,3051044-rj44,3,food_sharing_tool,1,1
192,3051047-rj47,0,food_sharing_tool,1,1
193,3051047-rj47,1,policesquad,1,1
194,3051049-rj49,0,astroamer_element_hunt_activity,2,1
195,3051049-rj49,1,astroamer_moon_track,1,1
196,3051049-rj49,2,astroamer_planet_trek_activity,1,1
197,3051049-rj49,3,factorisation,1,1
198,3051049-rj49,4,food_sharing_tool,1,1
199,3051049-rj49,5,policesquad,1,1
200,3072002-rj52,0,astroamer_element_hunt_activity,4,1
201,3072002-rj52,1,astroamer_planet_trek_activity,2,1
202,3072002-rj52,2,food_sharing_tool,2,1
203,3072002-rj52,3,rationpatterns,1,1
204,3072006-rj56,0,ages_puzzle,1,1
205,3072006-rj56,1,astroamer_element_hunt_activity,1,1
206,3072006-rj56,2,factorisation,1,1
207,3072006-rj56,3,food_sharing_tool,2,1
208,3072008-rj58,0,food_sharing_tool,1,1
209,3072009-rj59,0,astroamer_element_hunt_activity,1,1
210,3072009-rj59,1,coins_puzzle,1,1
211,3072012-rj62,0,factorisation,3,1
212,3072013-rj63,0,food_sharing_tool,1,1
213,3072014-rj64,0,food_sharing_tool,1,1
214,3072018-rj68,0,food_sharing_tool,2,1
215,3072019-rj69,0,astroamer_element_hunt_activity,1,1
216,3072019-rj69,1,astroamer_moon_track,1,1
217,3072022-rj72,0,food_sharing_tool,2,1
218,3072023-rj73,0,astroamer_element_hunt_activity,3,1
219,3072023-rj73,1,astroamer_planet_trek_activity,1,1
