server_id,school_name,school_code,module_name,unit_name,username,user_id,grade,enrollment_status,buddy_userids,total_lessons,lessons_visited,percentage_lessons_visited,total_activities,activities_visited,percentage_activities_visited,timestamp,state_code,school_server_code,date_created,days_server_wo_activity,tools_only_activity,module_only_activity,tool_with_module_activity,total_days_server_on,month_slot
tg204,Zphs Galipally,4202004,[u'Geometric Reasoning Part II'],gr2-unit1-property-based-reasoning,brown-ostrich-sp100,1260189,,No,[],5,1,20.0,17,1,5.882352941176469,2018-07-12 23:03:00,tg,4202004-tg204,2018-07-12,1,0,1,0,2,Jul-2018
tg204,Zphs Galipally,4202004,[u'Geometric Reasoning Part II'],gr2-unit1-property-based-reasoning,brown-ostrich-sp100,1260189,,No,[],5,1,20.0,17,1,5.882352941176469,2018-07-12 23:03:00,tg,4202004-tg204,2018-07-12,1,0,1,0,2,Jul-2018
tg204,Zphs Galipally,4202004,[u'Geometric Reasoning Part II'],gr2-unit1-property-based-reasoning,brown-peacock-sp100,1260193,Grade 8,No,[],5,1,20.0,17,1,5.882352941176469,2018-07-12 23:03:00,tg,4202004-tg204,2018-07-12,1,0,1,0,2,Jul-2018
tg204,Zphs Galipally,4202004,[u'Geometric Reasoning Part II'],gr2-unit1-property-based-reasoning,brown-peacock-sp100,1260193,Grade 8,No,[],5,1,20.0,17,1,5.882352941176469,2018-07-12 23:03:00,tg,4202004-tg204,2018-07-12,1,0,1,0,2,Jul-2018
tg204,Zphs Galipally,4202004,[u'Linear Equations'],le-unit1-making-solving-puzzles,blue-copper-sp100,1259953,Grade 8,No,[],1,0,0.0,7,0,0.0,2018-07-12 23:03:00,tg,4202004-tg204,2018-07-12,1,0,1,0,2,Jul-2018
tg204,Zphs Galipally,4202004,[u'Linear Equations'],le-unit1-making-solving-puzzles,blue-copper-sp100,1259953,Grade 8,No,[],1,0,0.0,7,0,0.0,2018-07-12 23:03:00,tg,4202004-tg204,2018-07-12,1,0,1,0,2,Jul-2018
tg204,Zphs Galipally,4202004,[u'Linear Equations'],le-unit1-making-solving-puzzles,black-apple-sp100,1260002,Grade 9,No,[],1,0,0.0,7,0,0.0,2018-07-12 23:03:00,tg,4202004-tg204,2018-07-12,1,0,1,0,2,Jul-2018
tg204,Zphs Galipally,4202004,[u'Linear Equations'],le-unit1-making-solving-puzzles,black-apple-sp100,1260002,Grade 9,No,[],1,0,0.0,7,0,0.0,2018-07-12 23:03:00,tg,4202004-tg204,2018-07-12,1,0,1,0,2,Jul-2018
tg204,Zphs Galipally,4202004,[u'English Elementary'],ee-unit1-english-elementary,blue-copper-sp100,1259953,Grade 8,No,[],12,0,0.0,84,0,0.0,2018-07-12 23:01:00,tg,4202004-tg204,2018-07-12,1,0,1,0,2,Jul-2018
tg204,Zphs Galipally,4202004,[u'English Elementary'],ee-unit1-english-elementary,blue-copper-sp100,1259953,Grade 8,No,[],12,0,0.0,84,0,0.0,2018-07-12 23:01:00,tg,4202004-tg204,2018-07-12,1,0,1,0,2,Jul-2018
tg204,Zphs Galipally,4202004,[u'English Elementary'],ee-unit1-english-elementary,yellow-copper-sp100,1259993,,No,[],12,0,0.0,84,2,2.380952380952381,2018-07-12 23:01:00,tg,4202004-tg204,2018-07-12,1,0,1,0,2,Jul-2018
tg204,Zphs Galipally,4202004,[u'English Elementary'],ee-unit1-english-elementary,yellow-copper-sp100,1259993,,No,[],12,0,0.0,84,2,2.380952380952381,2018-07-12 23:01:00,tg,4202004-tg204,2018-07-12,1,0,1,0,2,Jul-2018
tg204,Zphs Galipally,4202004,[u'English Elementary'],ee-unit1-english-elementary,black-apple-sp100,1260002,Grade 9,No,[],12,0,0.0,84,0,0.0,2018-07-12 23:01:00,tg,4202004-tg204,2018-07-12,1,0,1,0,2,Jul-2018
tg204,Zphs Galipally,4202004,[u'English Elementary'],ee-unit1-english-elementary,black-apple-sp100,1260002,Grade 9,No,[],12,0,0.0,84,0,0.0,2018-07-12 23:01:00,tg,4202004-tg204,2018-07-12,1,0,1,0,2,Jul-2018
tg204,Zphs Galipally,4202004,[u'English Elementary'],ee-unit1-english-elementary,brown-ostrich-sp100,1260189,,Yes,[],12,0,0.0,84,1,1.1904761904761905,2018-07-12 23:01:00,tg,4202004-tg204,2018-07-12,1,0,1,0,2,Jul-2018
tg204,Zphs Galipally,4202004,[u'English Elementary'],ee-unit1-english-elementary,brown-ostrich-sp100,1260189,,Yes,[],12,0,0.0,84,1,1.1904761904761905,2018-07-12 23:01:00,tg,4202004-tg204,2018-07-12,1,0,1,0,2,Jul-2018
tg204,Zphs Galipally,4202004,[u'English Elementary'],ee-unit1-english-elementary,brown-peacock-sp100,1260193,Grade 8,Yes,[],12,0,0.0,84,1,1.1904761904761905,2018-07-12 23:01:00,tg,4202004-tg204,2018-07-12,1,0,1,0,2,Jul-2018
tg204,Zphs Galipally,4202004,[u'English Elementary'],ee-unit1-english-elementary,brown-peacock-sp100,1260193,Grade 8,Yes,[],12,0,0.0,84,1,1.1904761904761905,2018-07-12 23:01:00,tg,4202004-tg204,2018-07-12,1,0,1,0,2,Jul-2018
tg204,Zphs Galipally,4202004,[u'Geometric Reasoning Part I'],gr1-unit1-concept-of-shape,brown-peacock-sp100,1260193,Grade 8,No,[],4,0,0.0,14,0,0.0,2018-07-12 23:02:00,tg,4202004-tg204,2018-07-12,1,0,1,0,2,Jul-2018
