school_server_code,tool_name,createdat_start,createdat_end,time_spent,session_id,user_id,domain
3051010-rj10,astroamer_element_hunt_activity,,2018-10-3 14:54:28,,qpxd2myx4gtswgw54vioorwf4p8d9ilw,220508,s
3051010-rj10,astroamer_element_hunt_activity,,2018-10-3 14:59:11,,qpxd2myx4gtswgw54vioorwf4p8d9ilw,220508,s
3051010-rj10,astroamer_element_hunt_activity,,2018-10-3 15:0:46,,qpxd2myx4gtswgw54vioorwf4p8d9ilw,220508,s
3072019-rj69,astroamer_moon_track,2018-8-20 15:40:26,2018-8-20 16:0:10,,1nlelj0b7f627drq16cel1ql2non05wy,282455,s
3072019-rj69,astroamer_moon_track,2018-8-20 15:42:46,2018-8-20 15:53:20,,fyg5nml79rqvyvoanalgdic69aal5j0w,282460,s
3072019-rj69,astroamer_moon_track,2018-8-20 15:42:46,2018-8-20 15:58:4,,fyg5nml79rqvyvoanalgdic69aal5j0w,282460,s
3072019-rj69,astroamer_moon_track,2018-8-20 8:43:17,2018-8-20 8:49:2,,srv456utmelsiehb3q18ejgv6xp5qn3o,0,s
3072019-rj69,astroamer_moon_track,2018-8-20 15:41:41,2018-8-20 15:55:49,,fcsodapyeo654tvep5gins8hypvdwxlv,0,s
3072019-rj69,astroamer_moon_track,2018-8-20 15:40:53,2018-8-20 15:53:14,,qgln01y3k1e245qmz53ohhv33h2xevon,1260475,s
3072019-rj69,astroamer_element_hunt_activity,,2018-8-20 10:0:55,,fyg5nml79rqvyvoanalgdic69aal5j0w,282460,s
3072019-rj69,astroamer_element_hunt_activity,,2018-8-20 10:2:52,,fyg5nml79rqvyvoanalgdic69aal5j0w,282460,s
3072019-rj69,astroamer_element_hunt_activity,,2018-8-20 10:3:14,,fyg5nml79rqvyvoanalgdic69aal5j0w,282460,s
3072019-rj69,astroamer_element_hunt_activity,,2018-8-20 10:3:33,,fyg5nml79rqvyvoanalgdic69aal5j0w,282460,s
3072019-rj69,astroamer_element_hunt_activity,,2018-8-20 15:29:41,,fyg5nml79rqvyvoanalgdic69aal5j0w,282460,s
3072019-rj69,astroamer_element_hunt_activity,,2018-8-20 10:4:2,,,0,s
3072019-rj69,astroamer_element_hunt_activity,,2018-8-20 10:8:19,,,0,s
3072019-rj69,astroamer_element_hunt_activity,,2018-8-20 10:8:41,,,0,s
3072019-rj69,astroamer_element_hunt_activity,,2018-8-20 10:9:12,,,0,s
3072019-rj69,astroamer_element_hunt_activity,,2018-8-20 5:31:20,,srv456utmelsiehb3q18ejgv6xp5qn3o,0,s
3072019-rj69,astroamer_element_hunt_activity,,2018-8-20 12:30:0,,,0,s
3072019-rj69,astroamer_element_hunt_activity,,2018-8-20 5:31:41,,srv456utmelsiehb3q18ejgv6xp5qn3o,0,s
3072019-rj69,astroamer_element_hunt_activity,,2018-8-20 12:30:32,,fcsodapyeo654tvep5gins8hypvdwxlv,0,s
3072019-rj69,astroamer_element_hunt_activity,,2018-8-20 12:32:39,,fcsodapyeo654tvep5gins8hypvdwxlv,0,s
3072019-rj69,astroamer_element_hunt_activity,,2018-8-20 12:34:20,,fcsodapyeo654tvep5gins8hypvdwxlv,0,s
3072019-rj69,astroamer_element_hunt_activity,,2018-8-20 5:36:7,,srv456utmelsiehb3q18ejgv6xp5qn3o,0,s
3072019-rj69,astroamer_element_hunt_activity,,2018-8-20 12:35:14,,fcsodapyeo654tvep5gins8hypvdwxlv,0,s
3072019-rj69,astroamer_element_hunt_activity,,2018-8-20 5:37:1,,srv456utmelsiehb3q18ejgv6xp5qn3o,0,s
3072019-rj69,astroamer_element_hunt_activity,,2018-8-20 5:37:33,,srv456utmelsiehb3q18ejgv6xp5qn3o,0,s
3072019-rj69,astroamer_element_hunt_activity,,2018-8-20 12:36:22,,fcsodapyeo654tvep5gins8hypvdwxlv,0,s
3072019-rj69,astroamer_element_hunt_activity,,2018-8-20 5:37:52,,srv456utmelsiehb3q18ejgv6xp5qn3o,0,s
3072019-rj69,astroamer_element_hunt_activity,,2018-8-20 5:38:18,,srv456utmelsiehb3q18ejgv6xp5qn3o,0,s
3072019-rj69,astroamer_element_hunt_activity,,2018-8-20 5:38:41,,srv456utmelsiehb3q18ejgv6xp5qn3o,0,s
3072019-rj69,astroamer_element_hunt_activity,,2018-8-20 12:37:18,,fcsodapyeo654tvep5gins8hypvdwxlv,0,s
3072019-rj69,astroamer_element_hunt_activity,,2018-8-20 5:39:2,,srv456utmelsiehb3q18ejgv6xp5qn3o,0,s
3072019-rj69,astroamer_element_hunt_activity,,2018-8-20 5:39:19,,srv456utmelsiehb3q18ejgv6xp5qn3o,0,s
3072019-rj69,astroamer_element_hunt_activity,,2018-8-20 5:39:19,,srv456utmelsiehb3q18ejgv6xp5qn3o,0,s
3072019-rj69,astroamer_element_hunt_activity,,2018-8-20 5:39:32,,srv456utmelsiehb3q18ejgv6xp5qn3o,0,s
3072019-rj69,astroamer_element_hunt_activity,,2018-8-20 5:39:34,,srv456utmelsiehb3q18ejgv6xp5qn3o,0,s
3072019-rj69,astroamer_element_hunt_activity,,2018-8-20 5:39:35,,srv456utmelsiehb3q18ejgv6xp5qn3o,0,s
3072019-rj69,astroamer_element_hunt_activity,,2018-8-20 5:39:36,,srv456utmelsiehb3q18ejgv6xp5qn3o,0,s
3072019-rj69,astroamer_element_hunt_activity,,2018-8-20 5:39:36,,srv456utmelsiehb3q18ejgv6xp5qn3o,0,s
3072019-rj69,astroamer_element_hunt_activity,,2018-8-20 12:38:9,,fcsodapyeo654tvep5gins8hypvdwxlv,0,s
3072019-rj69,astroamer_element_hunt_activity,,2018-8-20 5:39:37,,srv456utmelsiehb3q18ejgv6xp5qn3o,0,s
3072019-rj69,astroamer_element_hunt_activity,,2018-8-20 12:39:4,,fcsodapyeo654tvep5gins8hypvdwxlv,0,s
3072019-rj69,astroamer_element_hunt_activity,,2018-8-20 12:40:18,,fcsodapyeo654tvep5gins8hypvdwxlv,0,s
