server_id,school_name,school_code,module_name,unit_name,username,user_id,grade,enrollment_status,buddy_userids,total_lessons,lessons_visited,percentage_lessons_visited,total_activities,activities_visited,percentage_activities_visited,timestamp,state_code,school_server_code,days_server_wo_activity,tools_only_activity,module_only_activity,tool_with_module_activity,total_days_server_on
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,brown-sunflower-ct24,550410,,Yes,[],3,0,0.0,8,1,12.5,2018-08-03 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,brown-swan-ct24,550411,,Yes,[],3,0,0.0,8,1,12.5,2018-08-03 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,brown-swan-ct24,550411,,Yes,[],3,0,0.0,8,3,37.5,2018-08-23 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,brown-tiger-ct24,550412,,Yes,[],3,0,0.0,8,1,12.5,2018-08-03 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,brown-turtle-ct24,550413,,Yes,[],3,0,0.0,8,1,12.5,2018-08-03 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,brown-whale-ct24,550414,,Yes,[],3,0,0.0,8,1,12.5,2018-08-03 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,brown-wolf-ct24,550415,,Yes,[],3,0,0.0,8,1,12.5,2018-08-03 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,brown-zebra-ct24,550416,,Yes,[],3,0,0.0,8,1,12.5,2018-08-03 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-apple-ct24,550418,,Yes,[],3,0,0.0,8,1,12.5,2018-08-03 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-banana-ct24,550419,,Yes,[],3,0,0.0,8,1,12.5,2018-08-03 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-bat-ct24,550420,,Yes,[],3,0,0.0,8,1,12.5,2018-08-03 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-bear-ct24,550421,,Yes,"[550402, 550425]",3,0,0.0,8,1,12.5,2018-08-03 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-bull-ct24,550424,,Yes,"[550403, 550406, 550414]",3,0,0.0,8,1,12.5,2018-08-03 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-butterfly-ct24,550425,,Yes,[],3,0,0.0,8,1,12.5,2018-08-03 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-camel-ct24,550426,,Yes,[550410],3,0,0.0,8,1,12.5,2018-08-03 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-cat-ct24,550427,,Yes,[],3,0,0.0,8,1,12.5,2018-08-21 21:08:00,ct,1011024-ct24,3,1,7,9,20
ct24,Govt.High School Rampur,1011024.0,[u'Geometric Reasoning Part I'],gr1-unit2-analysing-describing-shapes,gray-cheetah-ct24,550428,,Yes,[550432],3,0,0.0,8,1,12.5,2018-08-07 21:08:00,ct,1011024-ct24,3,1,7,9,20
