school_server_code,tool_name,createdat_start,createdat_end,time_spent,session_id,user_id,domain
2031030-mz30,policesquad,,2018-10-25 12:04:58,0:3:11,fo3sf6a2kwek6z9zmk999gdy93c1n4lp,31675,m
2031030-mz30,policesquad,,2018-10-25 12:07:26,0:2:28,fo3sf6a2kwek6z9zmk999gdy93c1n4lp,31675,m
2031030-mz30,policesquad,,2018-10-25 12:13:31,0:3:14,fo3sf6a2kwek6z9zmk999gdy93c1n4lp,31675,m
2031030-mz30,policesquad,,2018-10-25 12:15:39,0:2:8,fo3sf6a2kwek6z9zmk999gdy93c1n4lp,31675,m
2031030-mz30,policesquad,,2018-10-25 12:18:34,0:2:54,fo3sf6a2kwek6z9zmk999gdy93c1n4lp,31675,m
2031030-mz30,policesquad,,2018-10-18 12:12:09,0:1:41,5rfrqd53rima3s6a13txae6e3dlpp7pc,31661,m
2031030-mz30,policesquad,,2018-10-18 12:16:00,0:3:51,5rfrqd53rima3s6a13txae6e3dlpp7pc,31661,m
2031030-mz30,policesquad,,2018-10-18 12:16:59,0:0:58,5rfrqd53rima3s6a13txae6e3dlpp7pc,31661,m
2031030-mz30,policesquad,,2018-10-18 12:20:06,0:3:7,5rfrqd53rima3s6a13txae6e3dlpp7pc,31661,m
2031030-mz30,policesquad,,2018-10-18 12:25:31,0:3:45,5rfrqd53rima3s6a13txae6e3dlpp7pc,31661,m
2031030-mz30,policesquad,,2018-10-18 12:29:50,0:0:55,5rfrqd53rima3s6a13txae6e3dlpp7pc,31661,m
2031030-mz30,policesquad,,2018-10-18 12:31:19,0:1:29,5rfrqd53rima3s6a13txae6e3dlpp7pc,31661,m
2031030-mz30,policesquad,,2018-10-18 12:32:53,0:1:33,5rfrqd53rima3s6a13txae6e3dlpp7pc,31661,m
2031030-mz30,policesquad,,2018-10-18 12:39:36,0:6:43,5rfrqd53rima3s6a13txae6e3dlpp7pc,31661,m
2031030-mz30,policesquad,,2018-10-18 12:40:15,0:0:39,5rfrqd53rima3s6a13txae6e3dlpp7pc,31661,m
2031030-mz30,policesquad,,2018-08-23 13:05:50,0:2:40,mvuemxn7wcq4prt7z71mb8ronh8pupvj,31713,m
2031030-mz30,policesquad,,2018-10-18 11:45:11,0:1:11,jgu6jlcff6xq6fdcnzceuh2yq7p0hfy1,31651,m
2031030-mz30,policesquad,,2018-10-18 11:49:05,0:3:53,jgu6jlcff6xq6fdcnzceuh2yq7p0hfy1,31651,m
2031030-mz30,policesquad,,2018-10-18 11:53:54,0:4:48,jgu6jlcff6xq6fdcnzceuh2yq7p0hfy1,31651,m
2031030-mz30,policesquad,,2018-10-18 12:02:29,0:7:36,jgu6jlcff6xq6fdcnzceuh2yq7p0hfy1,31651,m
2031030-mz30,policesquad,,2018-10-18 12:04:28,0:1:58,jgu6jlcff6xq6fdcnzceuh2yq7p0hfy1,31651,m
2031030-mz30,policesquad,,2018-10-18 12:08:00,0:3:31,jgu6jlcff6xq6fdcnzceuh2yq7p0hfy1,31651,m
2031030-mz30,policesquad,,2018-10-18 12:13:39,0:2:9,jgu6jlcff6xq6fdcnzceuh2yq7p0hfy1,31651,m
2031030-mz30,policesquad,,2018-10-18 12:15:18,0:1:18,jgu6jlcff6xq6fdcnzceuh2yq7p0hfy1,31651,m
2031030-mz30,policesquad,,2018-10-18 13:21:11,0:7:3,wc5gm7jlujpdw07n5wdl4ye6gs3a7e2c,31685,m
2031030-mz30,policesquad,,2018-10-18 13:25:47,0:1:1,wc5gm7jlujpdw07n5wdl4ye6gs3a7e2c,31685,m
2031030-mz30,policesquad,,2018-10-18 13:28:47,0:2:5,wc5gm7jlujpdw07n5wdl4ye6gs3a7e2c,31685,m
2031030-mz30,policesquad,,2018-10-18 13:30:07,0:1:19,wc5gm7jlujpdw07n5wdl4ye6gs3a7e2c,31685,m
2031030-mz30,policesquad,,2018-10-18 13:31:15,0:1:7,wc5gm7jlujpdw07n5wdl4ye6gs3a7e2c,31685,m
2031030-mz30,policesquad,,2018-10-18 13:32:51,0:1:35,wc5gm7jlujpdw07n5wdl4ye6gs3a7e2c,31685,m
2031030-mz30,policesquad,,2018-10-18 13:34:06,0:1:14,wc5gm7jlujpdw07n5wdl4ye6gs3a7e2c,31685,m
2031030-mz30,policesquad,,2018-10-18 13:37:15,0:1:0,wc5gm7jlujpdw07n5wdl4ye6gs3a7e2c,31685,m
2031030-mz30,policesquad,,2018-10-18 13:41:11,0:1:15,wc5gm7jlujpdw07n5wdl4ye6gs3a7e2c,31685,m
2031030-mz30,policesquad,,2018-10-18 13:48:57,0:0:57,wc5gm7jlujpdw07n5wdl4ye6gs3a7e2c,31685,m
2031030-mz30,policesquad,,2018-10-18 13:51:53,0:1:55,wc5gm7jlujpdw07n5wdl4ye6gs3a7e2c,31685,m
2031030-mz30,policesquad,,2018-10-18 13:59:25,0:1:23,wc5gm7jlujpdw07n5wdl4ye6gs3a7e2c,31685,m
2031030-mz30,policesquad,,2018-10-18 11:55:36,0:5:20,xamd61ywlcmro21af7uytwc1clv6s81j,31660,m
2031030-mz30,policesquad,,2018-10-18 12:02:22,0:1:12,xamd61ywlcmro21af7uytwc1clv6s81j,31660,m
2031030-mz30,policesquad,,2018-10-18 12:04:29,0:0:40,xamd61ywlcmro21af7uytwc1clv6s81j,31660,m
2031030-mz30,policesquad,,2018-10-18 12:13:17,0:1:22,xamd61ywlcmro21af7uytwc1clv6s81j,31660,m
2031030-mz30,policesquad,,2018-10-18 12:29:53,0:3:19,xamd61ywlcmro21af7uytwc1clv6s81j,31660,m
2031030-mz30,policesquad,,2018-10-18 13:15:42,0:1:1,599qs4ueqqt31uku390yc7duwq1u7f56,31715,m
2031030-mz30,policesquad,,2018-10-18 13:18:50,0:3:7,599qs4ueqqt31uku390yc7duwq1u7f56,31715,m
2031030-mz30,policesquad,,2018-10-18 13:21:45,0:0:40,599qs4ueqqt31uku390yc7duwq1u7f56,31715,m
2031030-mz30,policesquad,,2018-10-18 13:22:58,0:1:12,599qs4ueqqt31uku390yc7duwq1u7f56,31715,m
