school_server_code,tool_name,created_at,user_id,domain,time_hh,time_mm,time_ss,date_created,time_spent
1011001-ct1,Food_sharing_tool,2018-07-18 23:08:40,527006,m,23,08,40,20180718,95.0
1011001-ct1,Food_sharing_tool,2018-07-18 23:10:05,527006,m,23,10,05,20180718,95.0
1011001-ct1,Food_sharing_tool,2018-07-18 23:10:33,527006,m,23,10,33,20180718,95.0
1011001-ct1,Food_sharing_tool,2018-07-18 23:11:34,527006,m,23,11,34,20180718,95.0
1011001-ct1,Food_sharing_tool,2018-07-18 23:11:58,527006,m,23,11,58,20180718,95.0
1011001-ct1,Food_sharing_tool,2018-07-18 23:11:58,527006,m,23,11,58,20180718,95.0
1011001-ct1,Food_sharing_tool,2018-07-18 23:12:55,527006,m,23,12,55,20180718,95.0
1011001-ct1,Food_sharing_tool,2018-07-18 23:13:04,527006,m,23,13,04,20180718,95.0
1011001-ct1,Food_sharing_tool,2018-07-18 23:13:12,527006,m,23,13,12,20180718,95.0
1011001-ct1,Food_sharing_tool,2018-07-18 23:14:01,527006,m,23,14,01,20180718,95.0
1011001-ct1,Food_sharing_tool,2018-07-18 23:14:06,527006,m,23,14,06,20180718,95.0
1011001-ct1,Food_sharing_tool,2018-07-18 23:19:54,527006,m,23,19,54,20180718,95.0
1011001-ct1,Food_sharing_tool,2018-07-18 23:27:21,527006,m,23,27,21,20180718,95.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:13:22,0,m,22,13,22,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:15:27,0,m,22,15,27,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:16:02,0,m,22,16,02,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:16:21,0,m,22,16,21,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:20:29,0,m,22,20,29,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:17:06,0,m,22,17,06,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:17:22,0,m,22,17,22,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:17:22,0,m,22,17,22,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:17:31,0,m,22,17,31,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:17:31,0,m,22,17,31,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:17:33,0,m,22,17,33,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:17:59,0,m,22,17,59,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:18:05,0,m,22,18,05,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:18:08,0,m,22,18,08,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:18:08,0,m,22,18,08,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:18:10,0,m,22,18,10,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:23:58,0,m,22,23,58,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-17 22:20:45,0,m,22,20,45,20180717,560.0
1011001-ct1,Food_sharing_tool,2018-07-15 14:43:06,0,m,14,43,06,20180715,286.0
